HR=0 GSR=519 (X,Y,Z)=(-2.4, 1.1, 19.0) Time=5.214247
HR=0 GSR=519 (X,Y,Z)=(-2.1, 1.1, 18.7) Time=5.24389
HR=0 GSR=519 (X,Y,Z)=(-2.0, 1.1, 18.5) Time=5.271608
HR=0 GSR=519 (X,Y,Z)=(-1.7, 1.1, 18.5) Time=5.309744
HR=0 GSR=519 (X,Y,Z)=(-1.6, 1.1, 18.5) Time=5.336074
HR=0 GSR=519 (X,Y,Z)=(-1.3, 1.1, 18.6) Time=5.368416
HR=0 GSR=519 (X,Y,Z)=(-0.9, 1.1, 18.6) Time=5.400392
HR=0 GSR=519 (X,Y,Z)=(-0.7, 1.1, 18.7) Time=5.430743
HR=0 GSR=519 (X,Y,Z)=(-0.7, 1.1, 18.7) Time=5.45842
HR=0 GSR=519 (X,Y,Z)=(-0.7, 1.1, 18.9) Time=5.484503
HR=0 GSR=519 (X,Y,Z)=(-0.6, 1.1, 19.0) Time=5.51649
HR=0 GSR=519 (X,Y,Z)=(-0.6, 1.1, 19.2) Time=5.543718
HR=0 GSR=519 (X,Y,Z)=(-0.6, 1.1, 19.3) Time=5.573187
HR=0 GSR=519 (X,Y,Z)=(-0.6, 1.1, 19.6) Time=5.600361
HR=0 GSR=519 (X,Y,Z)=(-0.6, 1.1, 19.7) Time=5.626838
HR=0 GSR=519 (X,Y,Z)=(-0.6, 1.1, 19.9) Time=5.65875
HR=0 GSR=519 (X,Y,Z)=(-0.5, 1.1, 20.2) Time=5.691705
HR=0 GSR=519 (X,Y,Z)=(-0.2, 1.1, 20.5) Time=5.729949
HR=0 GSR=519 (X,Y,Z)=(0.0, 1.1, 20.8) Time=5.763919
HR=0 GSR=518 (X,Y,Z)=(0.2, 1.1, 20.9) Time=5.793628
HR=0 GSR=518 (X,Y,Z)=(0.4, 1.1, 21.2) Time=5.831826
HR=0 GSR=518 (X,Y,Z)=(0.7, 1.1, 21.5) Time=5.860987
HR=0 GSR=518 (X,Y,Z)=(0.9, 1.1, 21.7) Time=5.892129
HR=0 GSR=518 (X,Y,Z)=(1.1, 1.1, 21.9) Time=5.931633
HR=0 GSR=518 (X,Y,Z)=(1.4, 1.1, 22.2) Time=5.963131
HR=0 GSR=518 (X,Y,Z)=(1.6, 1.1, 22.4) Time=5.996536
HR=0 GSR=518 (X,Y,Z)=(1.9, 1.1, 22.6) Time=6.03091
HR=0 GSR=518 (X,Y,Z)=(2.0, 1.1, 22.7) Time=6.058351
HR=0 GSR=518 (X,Y,Z)=(2.4, 1.1, 22.9) Time=6.088513
HR=0 GSR=518 (X,Y,Z)=(2.6, 1.1, 23.0) Time=6.116621
HR=0 GSR=518 (X,Y,Z)=(3.1, 1.1, 23.1) Time=6.160024
HR=0 GSR=518 (X,Y,Z)=(3.3, 1.1, 23.1) Time=6.193648
HR=0 GSR=518 (X,Y,Z)=(3.7, 1.1, 23.1) Time=6.229993
HR=0 GSR=518 (X,Y,Z)=(3.9, 1.1, 23.1) Time=6.258507
HR=0 GSR=518 (X,Y,Z)=(4.3, 1.1, 23.1) Time=6.285895
HR=0 GSR=518 (X,Y,Z)=(4.5, 1.1, 23.1) Time=6.312046
HR=0 GSR=518 (X,Y,Z)=(4.9, 1.1, 23.0) Time=6.344889
HR=0 GSR=518 (X,Y,Z)=(5.1, 1.1, 23.0) Time=6.379149
HR=0 GSR=518 (X,Y,Z)=(5.5, 1.1, 22.9) Time=6.405277
HR=0 GSR=518 (X,Y,Z)=(5.7, 1.1, 22.8) Time=6.435194
HR=0 GSR=518 (X,Y,Z)=(6.1, 1.1, 22.8) Time=6.476912
HR=0 GSR=518 (X,Y,Z)=(6.5, 1.1, 22.7) Time=6.504108
HR=0 GSR=518 (X,Y,Z)=(6.7, 1.1, 22.6) Time=6.530782
HR=0 GSR=518 (X,Y,Z)=(6.9, 1.1, 22.6) Time=6.557649
HR=0 GSR=518 (X,Y,Z)=(7.2, 1.1, 22.5) Time=6.595031
HR=0 GSR=518 (X,Y,Z)=(7.4, 1.1, 22.4) Time=6.619496
HR=0 GSR=518 (X,Y,Z)=(7.8, 1.1, 22.3) Time=6.648481
HR=0 GSR=518 (X,Y,Z)=(8.0, 1.1, 22.3) Time=6.672994
HR=0 GSR=518 (X,Y,Z)=(8.2, 1.1, 22.2) Time=6.698986
HR=0 GSR=518 (X,Y,Z)=(8.6, 1.1, 22.1) Time=6.722779
HR=0 GSR=518 (X,Y,Z)=(8.8, 1.1, 22.0) Time=6.747173
HR=0 GSR=518 (X,Y,Z)=(9.0, 1.1, 22.0) Time=6.770877
HR=0 GSR=519 (X,Y,Z)=(9.4, 1.1, 21.9) Time=6.801205
HR=0 GSR=519 (X,Y,Z)=(9.5, 1.1, 21.8) Time=6.826883
HR=0 GSR=519 (X,Y,Z)=(9.9, 1.1, 21.7) Time=6.862946
HR=0 GSR=519 (X,Y,Z)=(10.1, 1.1, 21.6) Time=6.890576
HR=0 GSR=519 (X,Y,Z)=(10.5, 1.1, 21.5) Time=6.925313
HR=0 GSR=519 (X,Y,Z)=(10.7, 1.1, 21.5) Time=6.954682
HR=0 GSR=519 (X,Y,Z)=(11.1, 1.1, 21.4) Time=6.987144
HR=0 GSR=519 (X,Y,Z)=(11.3, 1.1, 21.4) Time=7.019875
HR=0 GSR=519 (X,Y,Z)=(11.7, 1.1, 21.4) Time=7.04451
HR=0 GSR=519 (X,Y,Z)=(11.9, 1.1, 21.4) Time=7.069264
HR=0 GSR=519 (X,Y,Z)=(12.1, 1.1, 21.3) Time=7.093346
HR=0 GSR=519 (X,Y,Z)=(12.3, 1.1, 21.3) Time=7.118582
HR=0 GSR=519 (X,Y,Z)=(12.7, 1.1, 21.2) Time=7.143096
HR=0 GSR=519 (X,Y,Z)=(12.9, 1.1, 21.2) Time=7.171352
HR=0 GSR=519 (X,Y,Z)=(13.1, 1.1, 21.1) Time=7.199752
HR=0 GSR=519 (X,Y,Z)=(13.4, 1.1, 20.9) Time=7.230525
HR=0 GSR=519 (X,Y,Z)=(13.5, 1.1, 20.7) Time=7.256053
HR=0 GSR=519 (X,Y,Z)=(13.8, 1.1, 20.4) Time=7.285855
HR=0 GSR=519 (X,Y,Z)=(13.9, 1.1, 20.2) Time=7.314022
HR=0 GSR=519 (X,Y,Z)=(14.0, 1.1, 20.1) Time=7.338793
HR=0 GSR=519 (X,Y,Z)=(14.2, 1.1, 19.7) Time=7.363557
HR=0 GSR=519 (X,Y,Z)=(14.2, 1.1, 19.5) Time=7.389815
HR=0 GSR=519 (X,Y,Z)=(14.3, 1.1, 19.3) Time=7.417544
HR=0 GSR=519 (X,Y,Z)=(14.4, 1.1, 19.0) Time=7.450175
HR=0 GSR=519 (X,Y,Z)=(14.5, 1.1, 18.8) Time=7.477652
HR=0 GSR=519 (X,Y,Z)=(14.6, 1.1, 18.4) Time=7.503602
HR=0 GSR=519 (X,Y,Z)=(14.7, 1.1, 18.2) Time=7.529665
HR=0 GSR=519 (X,Y,Z)=(14.7, 1.1, 18.0) Time=7.557996
HR=0 GSR=519 (X,Y,Z)=(14.8, 1.1, 17.6) Time=7.583882
HR=0 GSR=519 (X,Y,Z)=(14.9, 1.1, 17.4) Time=7.613431
HR=0 GSR=519 (X,Y,Z)=(14.9, 1.1, 17.0) Time=7.64904
HR=0 GSR=519 (X,Y,Z)=(14.9, 1.1, 16.6) Time=7.682625
HR=0 GSR=519 (X,Y,Z)=(14.8, 1.1, 16.4) Time=7.708198
HR=0 GSR=519 (X,Y,Z)=(14.8, 1.1, 16.2) Time=7.73279
HR=0 GSR=519 (X,Y,Z)=(14.7, 1.1, 16.0) Time=7.758993
HR=0 GSR=519 (X,Y,Z)=(14.5, 1.1, 15.7) Time=7.787056
HR=59 GSR=518 (X,Y,Z)=(14.4, 1.1, 15.5) Time=7.818452
HR=59 GSR=518 (X,Y,Z)=(14.3, 1.1, 15.1) Time=7.851419
HR=59 GSR=518 (X,Y,Z)=(14.1, 1.1, 14.8) Time=7.883989
